name,count
Дантист Ассистент врача-стоматолога,1
Директор департамента продуктов и маркетинга,1
Тайный проверяющий,1
Администратор в кафе,1
Сторож,1
"Менеджер клиентского отдела в ""СДЭК""",1
Коммерческий менеджер по B2B сделкам,1
Официант / Waiter (Со знанием английского),1
Бариста - кассир,1
Специалист по организации дорожного движения,1
Java разработчик (Middle/Middle+),1
Радиотехник,1
Официант в ресторан на левом берегу,1
Администратор в доставку суши Ёбидоёби,1
Водитель грузового автотранспорта,1
Ведущий инженер по экологической безопасности по ГРР,1
Ассистент стоматолога/Медсестра/Медбрат,1
Агент по медицинскому обслуживанию (английский/русский),1
Менеджер по продажам (теплые продажи),1
SMM-специалист с навыками маркетолога,1
Продавец-консультант в свадебный салон,1
Бармен в ресторан,1
Упаковщик заказов,1
Администратор в бокс клуб TURANBOXING,1
Главный бухгалтер (в единственном лице),1
Начальник поверочной лаборатории,1
Массажистка/массажист в СПА-салон,1
Консультант еАкимат,1
Личная помощница/Личный помощник руководителя,1
Менеджер по экспедированию и логистике,1
Главный бухгалтер (строительство),1
Помощник в полиграфию,1
Администратор в детский бассейн,1
Медицинская сестра / медицинский брат,1
Руководитель управления разработки IT-решений,1
Разнорабочий Департамента хозяйственного обеспечения,1
Менеджер по контролю качества,1
Координатор отдела обучения,1
Помощник воспитателя,1
Associate/Intern to Business Valuation (Astana/Almaty),1
Менеджер в отдел продаж,1
Middle backend разработчик,1
Администратор в стоматологической клинике,1
Официант в LETO CAFE,1
Менеджер по подбору персонала,1
"Менеджер по продажам ""Iron club fitness""",1
Мастер аппаратного массажа,1
Кассир в CoffeeBOOМ,1
Преподаватель музыки,1
Инженер-конструктор (Реверс-инжиниринг),1
СММ менеджер,1
"Продавец-консультант в ТЦ ""Сарыарка""",1
Бухгалтер по банковским операциям / Казначей,1
Менеджер Департамента Private Banking,1
Специалист в управление конференц-систем,1
Вожатая/вожатый в летний клуб,1
Менеджер (региональный) по продажам товаров медицинского назначения,1
Администратор хостела,1
Упаковщик-водитель,1
СММ специалист / мобилограф в Образовательный центр,1
Продавец-консультант в бутик парфюмерии Beauty_World,1
Администратор Спа,1
"Директор (производство и продажа полиэтиленовых труб, b2b)",1
Товаровед-модератор,1
Системный администратор (офис - Астана),1
React + GraphQL Frontend Developer,1
Продавцы-консультанты в турецкий магазин “AquaDeluxe”,1
Помощник повара,1
Исполнительный директор (CEO),1
"Помощник менеджера по продажам лабораторного оборудования (Генетика, биотехнология)",1
Тестировщик,1
HR менеджер/рекрутер,1
